rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,100,0,0.0,400357,S000033,VT,,b'Sanders'
2,99,1,0.021375956946805774,412678,H001075,CA,,b'Harris'
3,98,2,0.06239398541229986,412223,G000555,NY,,b'Gillibrand'
4,97,3,0.07904538158357086,412325,M001176,OR,,b'Merkley'
5,96,4,0.09212585766863789,412598,B001288,NJ,,b'Booker'
6,95,5,0.09621843149249863,400253,M000133,MA,,b'Markey'
7,94,6,0.12448236834003434,412200,H001042,HI,,b'Hirono'
8,93,7,0.1309503026773152,412490,B001277,CT,,b'Blumenthal'
9,92,8,0.16482022039073962,400050,B000944,OH,,b'Brown'
10,91,9,0.16495689086516438,400415,V000128,MD,,b'Van Hollen'
11,90,10,0.18029498555171267,300081,R000122,RI,,b'Reed'
12,89,11,0.18505671158085849,300038,D000563,IL,,b'Durbin'
13,88,12,0.18684690235352447,300100,W000779,OR,,b'Wyden'
14,87,13,0.19159971690496153,412242,K000367,MN,,b'Klobuchar'
15,86,14,0.20931439775211003,400013,B001230,WI,,b'Baldwin'
16,85,15,0.2102200370610991,412542,W000817,MA,,b'Warren'
17,84,16,0.21274517906534499,300076,M001111,WA,,b'Murray'
18,83,17,0.22379058551721057,412247,W000802,RI,,b'Whitehouse'
19,82,18,0.2327131107906749,300065,L000174,VT,,b'Leahy'
20,81,19,0.2361637770902647,412742,S001203,MN,,b'Smith'
21,80,20,0.2373204432338576,412194,M001169,CT,,b'Murphy'
22,79,21,0.24184783637125157,300043,F000062,CA,,b'Feinstein'
23,78,22,0.24441820457738472,412281,H001046,NM,,b'Heinrich'
24,77,23,0.2526273628537734,412507,S001194,HI,,b'Schatz'
25,76,24,0.25982845024857343,400413,U000039,NM,,b'Udall'
26,75,25,0.2602709832891195,300093,S000770,MI,,b'Stabenow'
27,74,26,0.26713548457541975,412533,D000622,IL,,b'Duckworth'
28,73,27,0.2730801962675068,412582,K000384,VA,,b'Kaine'
29,72,28,0.28825556807657293,400064,C000141,MD,,b'Cardin'
30,71,29,0.28910697538848107,412681,C001113,NV,,b'Cortez Masto'
31,70,30,0.2916442483820628,300087,S000148,NY,,b'Schumer'
32,69,31,0.30710465905391826,412246,C001070,PA,,b'Casey'
33,68,32,0.310168752879731,400272,M000639,NJ,,b'Menendez'
34,67,33,0.323638117167695,412330,B001267,CO,,b'Bennet'
35,66,34,0.3408482820088204,412715,R000608,NV,,b'Rosen'
36,65,35,0.3415861430872271,300018,C000127,WA,,b'Cantwell'
37,64,36,0.3470976652830056,300019,C000174,DE,,b'Carper'
38,63,37,0.357630608726635,412323,S001181,NH,,b'Shaheen'
39,62,38,0.40307221161604856,412321,W000805,VA,,b'Warner'
40,61,39,0.4197348718407653,412390,C001088,DE,,b'Coons'
41,60,40,0.45812753979459453,412680,H001076,NH,,b'Hassan'
42,59,41,0.4622462988504917,412305,P000595,MI,,b'Peters'
43,58,42,0.48839781962881085,412545,K000383,ME,,b'King'
44,57,43,0.4887118845420332,456794,K000377,AZ,,b'Kelly'
45,56,44,0.4921537517063852,412244,T000464,MT,,b'Tester'
46,55,45,0.5683381964512569,300075,M001153,AK,,b'Murkowski'
47,54,46,0.5747296692758807,412391,M001183,WV,,b'Manchin'
48,53,47,0.6088764794766894,300025,C001035,ME,,b'Collins'
49,52,48,0.6103485814049456,300089,S000320,AL,,b'Shelby'
50,51,49,0.6328856782983334,412741,J000300,AL,,b'Jones'
51,50,50,0.6535331943699896,400054,B001135,NC,,b'Burr'
52,49,51,0.6623700700087977,412492,P000603,KY,,b'Paul'
53,48,52,0.6634019064221728,400325,P000449,OH,,b'Portman'
54,47,53,0.6758048564532102,412509,S001191,AZ,,b'Sinema'
55,46,54,0.6818158083181924,300002,A000360,TN,,b'Alexander'
56,45,55,0.6877430055920306,300047,G000359,SC,,b'Graham'
57,44,56,0.6981639021207193,300072,M000355,KY,,b'McConnell'
58,43,57,0.7147055124789263,412665,S001198,AK,,b'Sullivan'
59,42,58,0.7192853835393981,412406,G000562,CO,,b'Gardner'
60,41,59,0.7232189343217329,412495,L000577,UT,,b'Lee'
61,40,60,0.7272354953851611,300048,G000386,IA,,b'Grassley'
62,39,61,0.7284013587188684,412496,J000293,WI,,b'Johnson'
63,38,62,0.7320039078558526,412841,R000615,UT,,b'Romney'
64,37,63,0.7356736132775082,400408,T000461,PA,,b'Toomey'
65,36,64,0.7551780905627227,400061,C001047,WV,,b'Capito'
66,35,65,0.7598273348745991,412671,S001197,NE,,b'Sasse'
67,34,66,0.7700409850101149,412428,Y000064,IN,,b'Young'
68,33,67,0.798571724251617,400546,T000250,SD,,b'Thune'
69,32,68,0.8034871698890935,412269,C001075,LA,,b'Cassidy'
70,31,69,0.8046998879357278,400284,M000934,KS,,b'Moran'
71,30,70,0.8087266252938884,412556,F000463,NE,,b'Fischer'
72,29,71,0.8161538628062336,300030,C000880,ID,,b'Crapo'
73,28,72,0.8194811721932624,412840,H001089,MO,,b'Hawley'
74,27,73,0.8229957878704055,300083,R000307,KS,,b'Roberts'
75,26,74,0.8254465313725066,412494,H001061,ND,,b'Hoeven'
76,25,75,0.8264523530816752,400034,B000575,MO,,b'Blunt'
77,24,76,0.8311987858361997,300041,E000285,WY,,b'Enzi'
78,23,77,0.8332493541323729,412322,R000584,ID,,b'Risch'
79,22,78,0.8355770273993551,412471,S001184,SC,,b'Scott'
80,21,79,0.8358334507997375,400432,W000437,MS,,b'Wicker'
81,20,80,0.8394965812302757,400040,B001236,AR,,b'Boozman'
82,19,81,0.8585115878573392,412549,D000618,MT,,b'Daines'
83,18,82,0.8608087330666967,412679,K000393,LA,,b'Kennedy'
84,17,83,0.8769199796853501,412251,B001261,WY,,b'Barrasso'
85,16,84,0.8773305466066119,412669,R000605,SD,,b'Rounds'
86,15,85,0.8838768726062547,412464,L000575,OK,,b'Lankford'
87,14,86,0.8845866856784902,412743,H001079,MS,,b'Hyde-Smith'
88,13,87,0.8963976044254016,300027,C001056,TX,,b'Cornyn'
89,12,88,0.8994273404690205,412838,S001217,FL,,b'Scott'
90,11,89,0.904128729726028,412491,R000595,FL,,b'Rubio'
91,10,90,0.9042939032919471,456790,L000594,GA,,b'Loeffler'
92,9,91,0.9136916511632281,412668,T000476,NC,,b'Tillis'
93,8,92,0.914979462126755,412666,P000612,GA,,b'Perdue'
94,7,93,0.9231190241813787,412667,E000295,IA,,b'Ernst'
95,6,94,0.9335347816317271,412508,C001095,AR,,b'Cotton'
96,5,95,0.9348957834260113,300055,I000024,OK,,b'Inhofe'
97,4,96,0.9400159899303127,412573,C001098,TX,,b'Cruz'
98,3,97,0.9538107381402477,412839,B001310,IN,,b'Braun'
99,2,98,0.9724270265601638,412555,C001096,ND,,b'Cramer'
100,1,99,1.0,400032,B001243,TN,,b'Blackburn'
