rank_from_low,rank_from_high,percentile,leadership,id,bioguide_id,state,district,name
1,100,0,0.0,300089,S000320,AL,,b'Shelby'
2,99,1,0.0020466807864413204,456794,K000377,AZ,,b'Kelly'
3,98,2,0.11535277935135728,456790,L000594,GA,,b'Loeffler'
4,97,3,0.13161138734885358,412841,R000615,UT,,b'Romney'
5,96,4,0.21470449894979315,412545,K000383,ME,,b'King'
6,95,5,0.25768653014731324,412838,S001217,FL,,b'Scott'
7,94,6,0.2596477660026549,412669,R000605,SD,,b'Rounds'
8,93,7,0.2607286463519599,400357,S000033,VT,,b'Sanders'
9,92,8,0.2702301652798128,412556,F000463,NE,,b'Fischer'
10,91,9,0.30477251687951673,412743,H001079,MS,,b'Hyde-Smith'
11,90,10,0.3078096479646185,412840,H001089,MO,,b'Hawley'
12,89,11,0.3156852569484037,300083,R000307,KS,,b'Roberts'
13,88,12,0.32366944205106307,300002,A000360,TN,,b'Alexander'
14,87,13,0.32746730315848976,400061,C001047,WV,,b'Capito'
15,86,14,0.3363143014881264,412492,P000603,KY,,b'Paul'
16,85,15,0.34091143232216276,412671,S001197,NE,,b'Sasse'
17,84,16,0.35897115091978155,412555,C001096,ND,,b'Cramer'
18,83,17,0.3621429747130823,300018,C000127,WA,,b'Cantwell'
19,82,18,0.362901756349417,412680,H001076,NH,,b'Hassan'
20,81,19,0.3743813513093972,412741,J000300,AL,,b'Jones'
21,80,20,0.37456367436349824,300041,E000285,WY,,b'Enzi'
22,79,21,0.38491285547233994,412464,L000575,OK,,b'Lankford'
23,78,22,0.3896367552383291,412509,S001191,AZ,,b'Sinema'
24,77,23,0.3900975255553303,412668,T000476,NC,,b'Tillis'
25,76,24,0.3957666809787392,412281,H001046,NM,,b'Heinrich'
26,75,25,0.40076390589545086,412322,R000584,ID,,b'Risch'
27,74,26,0.4018217663648109,300019,C000174,DE,,b'Carper'
28,73,27,0.40802137893266943,412679,K000393,LA,,b'Kennedy'
29,72,28,0.40807473433431346,412839,B001310,IN,,b'Braun'
30,71,29,0.42611962708554385,300072,M000355,KY,,b'McConnell'
31,70,30,0.4298373267372743,412665,S001198,AK,,b'Sullivan'
32,69,31,0.43541482698248724,400415,V000128,MD,,b'Van Hollen'
33,68,32,0.4364361468121278,412496,J000293,WI,,b'Johnson'
34,67,33,0.4373592083263065,412508,C001095,AR,,b'Cotton'
35,66,34,0.4421026462219131,300065,L000174,VT,,b'Leahy'
36,65,35,0.4428907570450947,412200,H001042,HI,,b'Hirono'
37,64,36,0.44378926676837105,400040,B001236,AR,,b'Boozman'
38,63,37,0.4440609970238955,300081,R000122,RI,,b'Reed'
39,62,38,0.4467461906405094,412194,M001169,CT,,b'Murphy'
40,61,39,0.45072841364042104,412391,M001183,WV,,b'Manchin'
41,60,40,0.45224917809657295,412715,R000608,NV,,b'Rosen'
42,59,41,0.4662315710221738,300093,S000770,MI,,b'Stabenow'
43,58,42,0.48055672395511795,412330,B001267,CO,,b'Bennet'
44,57,43,0.48261561754775695,412666,P000612,GA,,b'Perdue'
45,56,44,0.4830886037625972,300030,C000880,ID,,b'Crapo'
46,55,45,0.4899027888749208,412681,C001113,NV,,b'Cortez Masto'
47,54,46,0.49155771359368616,412533,D000622,IL,,b'Duckworth'
48,53,47,0.49538239157331687,400032,B001243,TN,,b'Blackburn'
49,52,48,0.49753348506024486,400284,M000934,KS,,b'Moran'
50,51,49,0.4993796587987121,412742,S001203,MN,,b'Smith'
51,50,50,0.5006202151128496,400413,U000039,NM,,b'Udall'
52,49,51,0.5055826569891168,412251,B001261,WY,,b'Barrasso'
53,48,52,0.507986509162238,412582,K000384,VA,,b'Kaine'
54,47,53,0.5081999442130227,300087,S000148,NY,,b'Schumer'
55,46,54,0.5108972608354212,412406,G000562,CO,,b'Gardner'
56,45,55,0.5159451180885779,412549,D000618,MT,,b'Daines'
57,44,56,0.5182800426072763,412667,E000295,IA,,b'Ernst'
58,43,57,0.5192168976477914,412678,H001075,CA,,b'Harris'
59,42,58,0.5251073297435584,412269,C001075,LA,,b'Cassidy'
60,41,59,0.5303177410977475,412490,B001277,CT,,b'Blumenthal'
61,40,60,0.5303535492219484,400054,B001135,NC,,b'Burr'
62,39,61,0.530360315623618,412321,W000805,VA,,b'Warner'
63,38,62,0.5306154242007288,412247,W000802,RI,,b'Whitehouse'
64,37,63,0.5557970290586383,412428,Y000064,IN,,b'Young'
65,36,64,0.5586534445812517,300055,I000024,OK,,b'Inhofe'
66,35,65,0.5606908459738268,412495,L000577,UT,,b'Lee'
67,34,66,0.5677234219517291,412305,P000595,MI,,b'Peters'
68,33,67,0.5710247549487036,400546,T000250,SD,,b'Thune'
69,32,68,0.5714272286547862,412494,H001061,ND,,b'Hoeven'
70,31,69,0.5792524090359764,412223,G000555,NY,,b'Gillibrand'
71,30,70,0.579284842041384,300076,M001111,WA,,b'Murray'
72,29,71,0.593411942514678,412507,S001194,HI,,b'Schatz'
73,28,72,0.5941269058432227,412471,S001184,SC,,b'Scott'
74,27,73,0.6192320255767986,412244,T000464,MT,,b'Tester'
75,26,74,0.6235000346985762,300075,M001153,AK,,b'Murkowski'
76,25,75,0.6267704287826953,412325,M001176,OR,,b'Merkley'
77,24,76,0.626917164014626,412573,C001098,TX,,b'Cruz'
78,23,77,0.631169585543912,300043,F000062,CA,,b'Feinstein'
79,22,78,0.6410820348260188,400034,B000575,MO,,b'Blunt'
80,21,79,0.6411422304592549,400408,T000461,PA,,b'Toomey'
81,20,80,0.6423322077848193,412246,C001070,PA,,b'Casey'
82,19,81,0.6432907832406126,412542,W000817,MA,,b'Warren'
83,18,82,0.6515409242994588,400325,P000449,OH,,b'Portman'
84,17,83,0.6559256477783683,400013,B001230,WI,,b'Baldwin'
85,16,84,0.656559519124629,412598,B001288,NJ,,b'Booker'
86,15,85,0.657278787193227,300100,W000779,OR,,b'Wyden'
87,14,86,0.673730270401581,400050,B000944,OH,,b'Brown'
88,13,87,0.6828903583400016,412323,S001181,NH,,b'Shaheen'
89,12,88,0.7050588685970323,400432,W000437,MS,,b'Wicker'
90,11,89,0.7119883277144536,300048,G000386,IA,,b'Grassley'
91,10,90,0.7401992895220791,412242,K000367,MN,,b'Klobuchar'
92,9,91,0.7471817436981276,412390,C001088,DE,,b'Coons'
93,8,92,0.7518380514260852,300025,C001035,ME,,b'Collins'
94,7,93,0.7757775274601691,400253,M000133,MA,,b'Markey'
95,6,94,0.7840268245641928,300038,D000563,IL,,b'Durbin'
96,5,95,0.8443037351603999,400064,C000141,MD,,b'Cardin'
97,4,96,0.8541336807957088,300027,C001056,TX,,b'Cornyn'
98,3,97,0.8579728925652559,300047,G000359,SC,,b'Graham'
99,2,98,0.9076892866613756,412491,R000595,FL,,b'Rubio'
100,1,99,1.0,400272,M000639,NJ,,b'Menendez'
